SAMPLE ID	IGSN	REFERENCES	EXPEDITION ID	LATITUDE	LONGITUDE	LOC PREC	MIN ELEVATION	MAX ELEVATION	MIN AGE	AGE	MAX AGE	METHODS	ANALYZED MATERIAL	ROCK TYPE	ROCK NAME	MINERAL	TECTONIC SETTING	SIO2	TIO2	AL2O3	FE2O3	FE2O3T	FEO	FEOT	MGO	CAO	NA2O	K2O	P2O5
ATL0150-008-002A		KAY, 1970	ATL0150	31.82	-42.42	0.01	-3700	-3700				AAS; XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49	1.38	16				9.9	8.5	10.5	2.7	0.13	
ATL0150-008-542		MUIR, 1966	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49.76	1.49	14.85	2.16		8.27		8.56	11.17	2.69	0.15	0.13
ATL0150-008-545		MUIR, 1966	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49.8	1.51	14.76	1.85		8.64		8.56	11.1	2.68	0.15	0.13
ATL0150-008-AM2		SHIDO, 1971	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		OFF-AXIS_SPREADING_CENTER	50.05	1.54	15.19	1.49		8.42		8.46	11.01	2.72	0.13	0.13
ATL0150-008-AM4		SHIDO, 1971	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		OFF-AXIS_SPREADING_CENTER	47.55	2.63	13.91	4.31		9.15		6.15	10.85	2.59	0.2	0.21
BAK1964-BV17		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.36	0.15	
BAK1964-BV18		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.55	0.73	
BAK1964-BV3		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.8	1.38	
BAK1964-BV5		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.22	0.22	
BATGUAD-D-3		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	TRACHYTE		OCEAN_ISLAND	67.9	0.62	16.4	2.14		0.59		0.57	1.09	5.57	4.11	0.14
BATGUAD-G-16		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	HAWAIITE		OCEAN_ISLAND	47.3	3.67	16.1	3.86		9.9		4.62	8.69	3.5	1.84	0.61
BATGUAD-G-29		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:PLUTONIC:INTERMEDIATE	SYENITE		OCEAN_ISLAND	68.1	0.26	17.3	1.82		0.53		0.002	0.17	5.52	5.38	0.35
BATGUAD-G-34		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	BENMOREITE		OCEAN_ISLAND	56.4	1.28	19.5	5.39		0.95		1.37	3.43	5.67	3.54	0.53
BATGUAD-GS-29		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	MUGEARITE		OCEAN_ISLAND	54.7	1.44	19.1	7.23		0.37		1.9	4.8	5.1	2.66	0.61
BATGUAD-GS-44		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		OCEAN_ISLAND	47	2.82	14.8	3.66		8.91		7.2	9.6	3.27	1.92	0.45
BATGUAD-GS-60		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		OCEAN_ISLAND	45.4	2.81	15.6	2.81		9.81		7.55	10.07	3.27	1.16	0.41
