SAMPLE ID	IGSN	SOURCE	REFERENCE	EXPEDITION ID	LATITUDE	LONGITUDE	LOC PREC	MAX ELEVATION	MIN ELEVATION	MIN AGE	AGE	MAX AGE	METHOD	ANALYZED MATERIAL	ROCK TYPE	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	FEOT	MGO	CAO	NA2O	K2O	SR87_SR86	ND143_ND144
PETDB-3215-ML-38		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.61	2.09	13.61		6.93	10.54	2.14	0.35		
PETDB-3215-R130-7.0		EARTHCHEMDB	RHODES, J M, 2015	nr	19.7408	-155.05	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.53	1.78	11.15		18.99	6.97	1.04	0.09		
JS20017-013		EARTHCHEMDB	RHODES, J M, 2015	JS20017-013	19.3768	-155.937	0.0001	-1040	-1040				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		46.81	3.49	15.73		6.09	8.54	3.59	0.9		
PETDB-3215-ML-259		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.68	2.08	13.83		6.88	10.52	2.38	0.38		
MOA9902-002-021		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.6972	-155.771	0.0001	-3600	-3600				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.33	1.33	8.67		21.61	6.89	1.38	0.22		
PETDB-3212-SR0127-4.75		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		48.75	2.94	14.36		6.34	11.04	2.29	0.59		
PETDB-3211-R006-0.85-1.2		EARTHCHEMDB	RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G, 2012	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		50.31	2.58	13.15		7.75	10.62	2.39	0.48		
PETDB-3212-SR0959-3.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.94	1.29	7.11		25.88	6.31	1.02	0.14		
PETDB-3212-SR0463-7.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.91	1.92	10.34		16.25	8.56	1.55	0.21		
JS20018-006		EARTHCHEMDB	RHODES, J M, 2015	JS20018-005	19.4627	-155.985	0.0001	-1196	-1196				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.56	2.31	13.67		6.13	10.31	2.56	0.46		
PETDB-3215-ML-219		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51	1.75	12.17		10.76	9.18	2.03	0.29		
PETDB-3215-R108-4.45		EARTHCHEMDB	RHODES, J M, 2015	nr	19.7408	-155.05	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.91	2	13.06		9.54	10.13	2.26	0.18		
TFH-IT-473		EARTHCHEMDB	EASON, D; SINTON, J M, 2009	nr	64.2824	-20.8691	0.001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.03	1.78	15.46	12.15	8.39	11.49	1.48	0.18		
GBH-IT‐87		EARTHCHEMDB	SINTON, J M; GROENVOLD, K; SAEMUNDSSON, K, 2005	nr	64.2307	-21.0022	1e-06						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.45	1.36	15.62	11.11	8.66	12.9	1.81	0.1		
PETDB-3215-NE-46		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.95	2.09	13.78		6.82	10.57	2.48	0.44		
PETDB-3215-ML-123		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.7	2.01	13.34		7.83	10.24	2.54	0.36		
PETDB-3215-NE-25		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.88	2.1	13.78		7.18	10.46	1.98	0.4		
HAWAII 2000-13		EARTHCHEMDB	ISRAEL, C; BOYET, M; DOUCELANCE, R; BONNAND, P; FROSSARD, P; AUCLAIR, D; BOUVIER, A, 2019	nr	20.083	-155.717	0.01						TIMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT											0.512877
HAWAII 2000-13		EARTHCHEMDB	ISRAEL, C; BOYET, M; DOUCELANCE, R; BONNAND, P; FROSSARD, P; AUCLAIR, D; BOUVIER, A, 2019	nr	20.083	-155.717	0.01						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.77	3.31	13.27		7.03	11.13	2.39	0.78		
MOA9902-018-029		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.8069	-155.85	0.0001	-3100	-3100				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.93	2.05	13.15		8.81	10.31	2.12	0.31		
GEITLANDSJÖKULL 3-IS-110		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.5811	-20.6348	0.0001	1041	1041				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.19	1.43	16.07	10.93	7.33	13.15	1.44	0.11		
PETDB-3215-NE-53		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.84	2.02	13.72		6.95	10.56	2.45	0.4		
JS20023-006		EARTHCHEMDB	RHODES, J M, 2015	JS20023-006	18.6758	-155.686	0.0001	-3921	-3921				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		46.66	1.26	8.21		23.18	6.64	1.29	0.19		
JS20023-018		EARTHCHEMDB	RHODES, J M, 2015	JS20023-018	18.6867	-155.687	0.0001	-3174	-3174				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.58	1.43	9.18		19.88	7.31	1.48	0.22		
PETDB-3215-L00-015		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.56	1.69	10.77		14.99	8.61	1.83	0.34		
JS20019-007		EARTHCHEMDB	RHODES, J M, 2015	JS20019-007	18.8228	-155.721	0.0001	-1825	-1825				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.27	1.33	8.68		21.91	6.96	1.28	0.22		
PETDB-3212-SR0826-20.30		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.37	2.32	11.93		12.69	9.92	1.69	0.16		
R700-2.9-3.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						ICPMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT			2.44	12.38		8.73	12.14	2.1	0.44		
R700-2.9-3.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.703245	0.513046
PETDB-3212-SR0019-1.30		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.8	1.73	11.42		13.59	8.9	1.48	0.3		
PETDB-3212-SR0462-2.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.91	2.34	12.78		8.54	10.71	2.06	0.32		
MOA9902-004-015		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.62	-155.775	0.0001	-4500	-4500				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.35	1.87	11.23		14.02	8.77	2.02	0.32		
PETDB-3215-ML-84		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		46.9	1.3	8.29		22.21	6.58	1.16	0.25		
PETDB-3212-SR0604-2.50		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.27	2.1	11.65		11.63	10.62	1.77	0.29		
MOA9902-015-003		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.95	-155.983	0.0001	-2800	-2800				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.88	1.84	12.6		10.31	9.63	2.17	0.38		
HESTFJALL 8-IS-21		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.9801	-20.7167	0.0001	73	73				EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.7	1.99	13.8	12.9	7.26	12.9	2.18	0.16		
HESTFJALL 8-IS-21		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.9801	-20.7167	0.0001	73	73				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		46.8	1.64	14.56	12.18	8.46	12.01	2.05	0.14		
KJALFELL 1-IS-41A		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.7689	-19.5	0.0001	640	640				EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		47.2	1.53	15.7	12	8.33	12.3	2.14	0.13		
JS20016-005		EARTHCHEMDB	RHODES, J M, 2015	JS20016-005	18.823	-155.725	0.0001	-2095	-2095				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.92	1.97	12.65		9.6	10.22	1.92	0.3		
