,LATITUDE,LONGITUDE,ROCK TYPE,ROCK NAME,SIO2,NA2O,K2O
0,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.61,2.14,0.35
1,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.53,1.04,0.09
2,19.3768,-155.937,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,46.81,3.59,0.9
3,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.68,2.38,0.38
4,18.6972,-155.77100000000002,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.33,1.38,0.22
5,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,48.75,2.29,0.59
6,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.31,2.39,0.48
7,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.94,1.02,0.14
8,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.91,1.55,0.21
9,19.4627,-155.985,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.56,2.56,0.46
10,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.0,2.03,0.29
11,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.91,2.26,0.18
12,64.2824,-20.8691,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.03,1.48,0.18
13,64.2307,-21.0022,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.45,1.81,0.1
14,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.95,2.48,0.44
15,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.7,2.54,0.36
16,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.88,1.98,0.4
17,20.083,-155.717,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
18,20.083,-155.717,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.77,2.39,0.78
19,18.8069,-155.85,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.93,2.12,0.31
20,64.5811,-20.6348,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.19,1.44,0.11
21,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.84,2.45,0.4
22,18.6758,-155.686,IGNEOUS:VOLCANIC:MAFIC,PICRITE,46.66,1.29,0.19
23,18.6867,-155.687,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.58,1.48,0.22
24,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.56,1.83,0.34
25,18.8228,-155.721,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.27,1.28,0.22
26,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.37,1.69,0.16
27,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,2.1,0.44
28,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
29,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.8,1.48,0.3
30,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.91,2.06,0.32
31,18.62,-155.775,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.35,2.02,0.32
32,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,46.9,1.16,0.25
33,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.27,1.77,0.29
34,18.95,-155.983,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.88,2.17,0.38
35,63.9801,-20.7167,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.7,2.18,0.16
36,63.9801,-20.7167,IGNEOUS:VOLCANIC:MAFIC,BASALT,46.8,2.05,0.14
37,64.7689,-19.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.2,2.14,0.13
38,18.823,-155.725,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.92,1.92,0.3
39,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.65,1.52,0.28
40,18.8784,-155.691,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.52,2.28,0.3
41,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.48,2.06,0.44
42,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.81,2.28,0.21
43,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.24,2.27,0.34
44,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.91,1.97,0.19
45,18.6563,-155.8,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.35,1.92,0.43
46,18.6192,-155.775,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.48,2.05,0.41
47,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,52.31,2.18,0.44
48,18.8235,-155.708,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.34,1.73,0.28
49,19.2028,-156.078,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.26,2.59,0.32
50,19.3742,-155.933,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,46.54,3.9,0.87
51,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.22,1.36,0.15
52,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.76,1.19,0.21
53,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.5,1.86,0.11
54,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.31,2.15,0.32
55,18.687,-155.695,IGNEOUS:VOLCANIC:MAFIC,PICRITE,46.79,1.26,0.17
56,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.75,2.36,0.46
57,18.882,-155.705,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.23,1.64,0.22
58,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.91,2.28,0.46
